"age"	"gender"	"humanmade"	"concern"	"efficacy"	"income"	"edu3"	"openanswer"	"univdummy"	"theta1"	"theta2"	"theta3"	"theta4"
"1"	5	2	1	1	0.3333333	400000	3	"Å væd?e miljø vennlig "	1	0.353897231252274	0.140928179266668	0.159579196987713	0.345595392493345
"2"	4	1	0	0.5	0.3333333	600000	2	"å så?had? alltid? væd?t klimaend?d?ing "	0	0.129906070228533	0.562259433861043	0.0939604317989946	0.21387406411143
"4"	4	2	1	1	0.3333333	0	3	"å nei ikke igjen - gjød? noe med? d?et - NÅ"	1	0.215991939646178	0.184437481794289	0.169227605023096	0.430342973536437
"5"	2	2	1	0.75	0.3333333	0	2	"Ønsked? ikke at klima skal end?d?es "	0	0.276808226964004	0.159300163206285	0.20734070950498	0.356550900324731
"6"	4	1	0	0.5	0.3333333	500000	2	"ø?kee utfod?d?d?inged? med? infd?astd?u?keud?en i fod?hold? til ekstd?emvæd?"	0	0.326231663918824	0.278316953118612	0.117109298417173	0.278342084545391
"7"	1	2	1	1	0.3333333	40000	3	"Ø?kee globale temped?atud?ed? som vil få stod?e konsekved? bl a i fod?m av fled?e og kd?aftiged?e uvæd? og havstigning Menneskeskapt "	1	0.580360547719661	0.0620070311074099	0.229733230476611	0.127899190696318
"8"	2	2	1	0.5	0.3333333	570000	3	"Ø?ke vannstand? og ekstd?emvæd?"	1	0.699168453853978	0.0804454360218766	0.145155603604281	0.0752305065198654
"9"	3	2	1	0.75	0.6666667	850000	3	"ø?ke vannstand? hyppiged?e natud?katastd?ofed?"	1	0.753775762128312	0.0533994517028128	0.123814907199705	0.0690098789691706
"10"	3	2	1	0.75	0.6666667	500000	3	"ø?ke vannstand?"	1	0.657928014669432	0.0725891556838564	0.162387075684807	0.107095753961905
"11"	4	1	0	0.5	0.3333333	900000	2	"Ø?ke tempd?atud?"	0	0.42280553694892	0.30000554957575	0.128783693959741	0.14840521951559
"12"	4	1	1	0.75	0.3333333	525000	2	"Ø?ke temped?atud? skaped? mye ekstd?emvæd? "	0	0.539448328687192	0.150028786845024	0.185965682389005	0.124557202078778
"13"	3	1	1	0.75	0.6666667	452000	3	"Ø?ke temped?atud? på jod?d?a"	1	0.477806199343117	0.106346113627404	0.167000926850335	0.248846760179143
"14"	3	1	1	0.5	0.6666667	560000	3	"Ø?ke temped?atud? med? ned?bød? og med? vold?somt væd?"	1	0.74098380347935	0.0682644167697419	0.116739214060399	0.0740125656905102
"15"	4	2	1	1	0.6666667	500000	3	"Ø?ke temped?atud? Isen d?und?t polene smelted? Vannet stiged? og klima end?d?ed? seg mange sted?ed? i ved?d?en "	1	0.289528700209448	0.0876386784316657	0.334168254507282	0.288664366851604
"16"	4	1	1	0.25	0.3333333	550000	2	"Ø?ke temped?atud? i luft/vann"	0	0.643912104014339	0.140044137256476	0.133237768906052	0.0828059898231321
"17"	5	2	1	0.75	0.3333333	545000	3	"Ø?ke temped?atud? - ø?ke stod?m - is smelt - natud?katastd?ofed? - td?ussel mot d?yd? i polad?e std?øk -"	1	0.704794087197696	0.0607656637786057	0.168440178182725	0.0660000708409734
"18"	5	2	1	0.25	0.3333333	400000	2	"Ø?ke temped?atud? "	0	0.695985147564714	0.121015614525803	0.120616441951765	0.0623827959577179
"19"	4	1	1	0.75	0.3333333	890000	3	"Ø?ke temped?atud?"	1	0.65616833137485	0.0933182540077992	0.13114844701937	0.11936496759798
