"X"	"age"	"gender"	"humanmade"	"concern"	"efficacy"	"income"	"edu3"	"translation"	"univdummy"	"theta1"	"theta2"	"theta3"	"theta4"
"1"	0	5	2	1	1	0.3333333	400000	3	"Að vera umhverfisvæn "	1	0.192120319026405	0.252494459699254	0.283247510410993	0.272137710863348
"2"	1	4	1	0	0.5	0.3333333	600000	2	"til svo? hefur alltaf verið loftslagsbreytingar "	0	0.192493110789054	0.0487774194245441	0.476430685029445	0.282298784756957
"3"	2	4	1	1	0.75	0.3333333	500000	3	"Að hrasa höfuð við vegginn "	1	0.189922473871281	0.173795669727598	0.371271415654551	0.26501044074657
"4"	3	4	2	1	1	0.3333333	0	3	"Ó nei ekki aftur - gerðu eitthvað um það - nú "	1	0.168329728811366	0.100190397470456	0.360572139237111	0.370907734481068
"5"	4	2	2	1	0.75	0.3333333	0	2	"Viltu ekki að loftslagið breytist "	0	0.250678109458446	0.207130237536113	0.329780735022559	0.212410917982882
"6"	5	4	1	0	0.5	0.3333333	500000	2	"Aukin áskoranir við innviði í tengslum við mikla veður "	0	0.195125219674112	0.317241585745934	0.313628236807682	0.174004957772272
"7"	6	1	2	1	1	0.3333333	40000	3	"Aukin alþjóðleg hitastig sem mun hafa meiriháttar afleiðingar BL a í formi margra og öflugra storma og sjó rísa tilbúin "	1	0.147858788885772	0.339163155604517	0.30397109217523	0.209006963334481
"8"	7	2	2	1	0.5	0.3333333	570000	3	"Aukið vatnsborð og öfgafullt veður "	1	0.0631489631820054	0.851165148307614	0.0425636009995164	0.0431222875108641
"9"	8	3	2	1	0.75	0.6666667	850000	3	"Aukið vatnshæð tíðari náttúruhamfarir "	1	0.0711837719147034	0.831128776449648	0.0524369813610971	0.0452504702745517
"10"	9	3	2	1	0.75	0.6666667	500000	3	"Aukið vatnsborð "	1	0.0863395622092469	0.787090796744924	0.0685852726855901	0.0579843683602388
"11"	10	4	1	0	0.5	0.3333333	900000	2	"Aukin hitastig "	0	0.123383144100113	0.692885663372039	0.100410106478731	0.0833210860491171
"12"	11	4	1	1	0.75	0.3333333	525000	2	"Aukin hitastig skapar mikið af mikilli veðri "	0	0.115354476884243	0.72766445512851	0.0819725119742368	0.0750085560130096
"13"	12	3	1	1	0.75	0.6666667	452000	3	"Aukin hitastig á jörðinni "	1	0.14503872969873	0.616242837394454	0.132395041056928	0.106323391849889
"14"	13	3	1	1	0.5	0.6666667	560000	3	"Aukin hitastig meiri úrkomu og meira ofbeldi veður "	1	0.0491971666360369	0.889239711705717	0.0313201034376696	0.0302430182205767
"15"	14	4	2	1	1	0.6666667	500000	3	"Aukin hitastig í kringum stöngina Melt vatn hækkar og loftslagsbreytingar á mörgum stöðum í heiminum "	1	0.135726539852734	0.647624824929317	0.116411871278303	0.100236763939646
"16"	15	4	1	1	0.25	0.3333333	550000	2	"Aukin hitastig í lofti / vatni "	0	0.0811988650896408	0.815328037880389	0.0491428668969471	0.0543302301330231
"17"	16	5	2	1	0.75	0.3333333	545000	3	"Aukin hitastig - aukin stormur - ísbræðsla - náttúruhamfarir - ógn við dýr í skautasvæðum - "	1	0.0682062248933785	0.828000540731538	0.0542244953533171	0.0495687390217666
"18"	17	5	2	1	0.25	0.3333333	400000	2	"Aukin hitastig "	0	0.089049464847111	0.806016685905596	0.048911513002494	0.0560223362447991
"19"	18	4	1	1	0.75	0.3333333	890000	3	"Aukin hitastig "	1	0.0875264978292714	0.767274027442377	0.0728421208244341	0.0723573539039177
"20"	19	3	1	1	0.5	0.3333333	610000	3	"Aukið innihald CO2 í andrúmsloftinu og áhrif þess á alþjóðlegt hitastig "	1	0.150684460182099	0.438596430793341	0.251343253613506	0.159375855411054
"21"	20	3	2	1	0.75	0.6666667	515000	3	"Aukin sjávarmáli "	1	0.0863395624233559	0.787090796285114	0.0685852728216933	0.0579843684698369
"22"	21	2	2	1	0.5	0.6666667	370000	2	"Aukin CO2 og hár vernd frá flugvélum "	0	0.189146510103312	0.424047346033204	0.235673663873172	0.151132479990312
"23"	22	5	1	1	0.5	0.3333333	590000	3	"Aukin CO2 stig vegna notkunar jarðefnaeldsneytis aukið hitastig "	1	0.132961483228708	0.641692079014472	0.10111880739679	0.12422763036003
"25"	24	3	2	0	0.25	0.3333333	450000	3	"Hækkun á meðalhiti á jörðinni "	1	0.169457755929046	0.585404137082922	0.130830942094294	0.114307164893738
"26"	25	5	1	1	1	0.3333333	500000	3	"Aukning í mikilli veðri "	1	0.0874131075941337	0.763442322740755	0.0761017944234735	0.0730427752416378
"27"	26	4	2	1	0.25	0.3333333	510000	3	"Auka sjávar stig "	1	0.0697302128252179	0.84213224584744	0.0403173273672833	0.0478202139600584
"28"	27	6	1	0	0.75	0.3333333	650000	3	"Aukin meðaltal árleg hitastig Melting Polaris Sterkari stormar og skaðlegir stormar Sumir sviðir á jörðinni hækka með flóðum í sjó "	1	0.13897080366743	0.707700754160573	0.08095343378121	0.0723750083907869
